date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2016-01-04T00:00:00.000Z,177.14,177.19,173.76,175.79,3745324,164.4334137529,164.4798271586,161.2958675269,163.1802517987,3745324,0.0,1.0
2016-01-05T00:00:00.000Z,174.09,177.5,172.92,176.71,4518914,161.6021960045,164.767590274,160.5161223109,164.0342584638,4518914,0.0,1.0
2016-01-06T00:00:00.000Z,169.84,172.02,169.1,171.31,5538490,157.6570565191,159.6806810081,156.9701381146,159.021610647,5538490,0.0,1.0
2016-01-07T00:00:00.000Z,164.62,169.5,163.6,166.67,5685168,152.8114969629,157.3414453603,151.8646634864,154.714446597,5685168,0.0,1.0
2016-01-08T00:00:00.000Z,163.94,168.42,163.63,166.75,4926975,152.1802746452,156.3389157969,151.8925115298,154.7887080462,4926975,0.0,1.0
2016-01-11T00:00:00.000Z,165.73,166.46,163.34,165.0,4386219,153.8418745697,154.5195102931,151.6233137767,153.1642388463,4386219,0.0,1.0
2016-01-12T00:00:00.000Z,165.71,168.18,163.3,166.89,4441260,153.8233092074,156.1161314495,151.5861830521,154.9186655822,4441260,0.0,1.0
2016-01-13T00:00:00.000Z,158.99,167.1,157.92,166.46,5252478,147.5853474798,155.1136018862,146.5921005976,154.5195102931,5252478,0.0,1.0
2016-01-14T00:00:00.000Z,161.39,162.51,156.76,160.3,4271772,149.813190954,150.8528512419,145.5153095851,148.8013787095,4271772,0.0,1.0
2016-01-15T00:00:00.000Z,155.61,157.99,153.81,156.7,6236630,144.4478012538,146.6570793656,142.7769186482,145.4596134983,6236630,0.0,1.0
2016-01-19T00:00:00.000Z,156.82,158.76,155.2848,157.56,5858409,145.571005672,147.3718458136,144.145928463,146.2579240765,5858409,0.0,1.0
2016-01-20T00:00:00.000Z,153.75,158.37,151.65,154.1,9368217,142.7212225613,147.009821249,140.7718595215,143.0461164013,9368217,0.0,1.0
2016-01-21T00:00:00.000Z,151.65,155.16,151.49,153.97,5736919,140.7718595215,144.0300806024,140.6233366232,142.9254415464,5736919,0.0,1.0
2016-01-22T00:00:00.000Z,156.86,156.99,153.86,154.58,5583770,145.6081363965,145.7288112514,142.8233320539,143.4916850961,5583770,0.0,1.0
2016-01-25T00:00:00.000Z,151.12,156.53,151.12,156.4,5049650,140.2798774209,145.3018079188,140.2798774209,145.181133064,5049650,0.0,1.0
2016-01-26T00:00:00.000Z,154.45,156.1,151.19,151.41,5237676,143.3710102413,144.9026526297,140.3448561889,140.549075174,5237676,0.0,1.0
2016-01-27T00:00:00.000Z,153.72,158.43,153.19,153.59,5152254,142.6933745179,147.0655173359,142.2013924174,142.572699663,5152254,0.0,1.0
2016-01-28T00:00:00.000Z,157.06,158.05,152.53,155.01,4292810,145.7937900194,146.7127754525,141.588735462,143.8908403852,4292810,0.0,1.0
2016-01-29T00:00:00.000Z,161.56,161.59,157.78,158.64,4887864,149.9709965334,149.9988445768,146.4621430616,147.2604536399,4887864,0.0,1.0
2016-02-01T00:00:00.000Z,159.65,161.0,158.45,160.41,2963321,148.1980044352,149.4511663894,147.0840826982,148.903488202,2963321,0.0,1.0
